url,genre_cleaned,genre_len,main_genre,artist,album,score,genre,label,reviewer,album_year,review_date,length,artist_id,followers_count,review_datetime,review_year,reviewer_reviews,review_release_difference,artist_reviews,artist_review_number,matched
https://www.pitchfork.com/reviews/albums/-wallop/,['Rock'],1,Rock,!!!,Wallop,7.2,Rock,Warp,Jesse Dorris,2019.0,2019-09-07,851,2Jc4AEeBTE47KwuKgYOtcL,362467.0,2019-09-07,2019,61,0.0,3.0,2.0,both
https://www.pitchfork.com/reviews/albums/-ziq-challenge-me-foolish/,['Electronic'],1,Electronic,µ-Ziq,Challenge Me Foolish,5.8,Electronic,Planet Mu,Andy Beta,2018.0,2018-04-16,543,7AiamoV760pPGGM5PbOC6X,98699.0,2018-04-16,2018,180,0.0,3.0,1.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-god-level/,['Rap'],1,Rap,03 Greedo,God Level,8.0,Rap,Alamo,Torii MacAdams,2018.0,2018-07-05,706,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2018-07-05,2018,13,0.0,7.0,2.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-kenny-beats-netflix-and-deal/,['Rap'],1,Rap,03 Greedo,Netflix & Deal,7.5,Rap,Alamo,Sheldon Pearce,2019.0,2019-12-05,530,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2019-12-05,2019,157,0.0,7.0,4.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-mike-free-free-03/,['Rap'],1,Rap,03 Greedo,Free 03,7.4,Rap,Alamo,Dylan Green,2023.0,2023-01-18,774,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2023-01-18,2023,149,0.0,7.0,6.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-project-t-pain/,['Rap'],1,Rap,03 Greedo,Project T-Pain,8.0,Rap,Bag Dat Money,Paul A. Thompson,2023.0,2024-01-11,857,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2024-01-11,2024,99,1.0,7.0,7.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-ron-rontheproducer-load-it-up-vol-01/,['Rap'],1,Rap,03 Greedo,"Load It Up, Vol. 01",7.5,Rap,Alamo,Mano Sundaresan,2020.0,2020-08-27,817,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2020-08-27,2020,19,0.0,7.0,5.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-still-summer-in-the-projects/,['Rap'],1,Rap,03 Greedo,Still Summer in the Projects,7.6,Rap,Alamo / Interscope,Sheldon Pearce,2019.0,2019-04-24,417,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2019-04-24,2019,157,0.0,7.0,3.0,both
https://www.pitchfork.com/reviews/albums/03-greedo-the-wolf-of-grape-street/,['Rap'],1,Rap,03 Greedo,The Wolf of Grape Street,8.0,Rap,Alamo,Paul A. Thompson,2018.0,2018-03-15,1036,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2018-03-15,2018,99,0.0,7.0,1.0,both
https://www.pitchfork.com/reviews/albums/070-shake-modus-vivendi/,['Rap'],1,Rap,070 Shake,Modus Vivendi,7.3,Rap,G.O.O.D. Music / Def Jam,Reed Jackson,2020.0,2020-01-21,686,12Zk1DFhCbHY6v3xep2ZjI,686907.0,2020-01-21,2020,20,0.0,3.0,1.0,both
